Theta, Alpha, Low_beta, High_beta, Gamma, Channel
,,,,,
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
91.79176281,38.89577026,22.40416912,12.84306182,6.801654982,IED_AF3
90.42867595,38.97295228,18.52051001,10.140791,4.942839306,IED_AF4
91.13698435,35.45601495,19.34290162,13.64047881,8.726832221,IED_T7
81.88132133,32.31830465,18.23421118,10.19503563,4.700064816,IED_T8
86.5218033,30.79456335,15.76595122,7.733214463,3.193852097,IED_O1
9.31879324,7.074146729,4.532374071,4.163827453,3.715547707,IED_AF3
12.95284721,7.335895414,3.627525099,3.276252346,2.772472757,IED_AF4
1.04173105,0.657753402,1.606973422,1.146187087,1.274401863,IED_T7
1.896007783,2.521762521,6.696568419,3.153942583,2.894372326,IED_T8
0.356532649,0.246778129,0.369295469,0.355736909,0.270773847,IED_O1
9.692558479,3.270856145,2.043782307,2.443476405,2.291975818,IED_AF3
13.67338975,3.000712906,1.924775943,2.207351571,1.900319447,IED_AF4
2.934405092,1.164933798,1.652008231,0.545474119,0.8056928,IED_T7
1.847699838,2.214033933,3.407084559,1.19481571,1.761236081,IED_T8
0.29485479,0.431398377,0.578328807,0.303986002,0.280311429,IED_O1
6.909594473,4.473659778,4.007782318,2.41906744,1.778035614,IED_AF3
9.700429902,4.742608691,3.364738261,2.20008069,1.586142336,IED_AF4
3.12863414,2.836081702,2.284198579,0.863991477,0.820627454,IED_T7
2.567363853,2.984117724,3.107749115,1.48396265,1.563127287,IED_T8
0.274514796,0.845467038,1.023743192,0.343153567,0.351323229,IED_O1
4.384086392,6.792793081,9.608836975,2.748664414,2.169592284,IED_AF3
4.478981875,7.752762677,8.108483709,2.597741547,1.924800004,IED_AF4
2.525391482,2.32483542,2.785522716,1.418988487,1.126664137,IED_T7
3.222967404,2.823190777,6.691345361,2.376061429,2.743689325,IED_T8
0.328453843,0.556291411,0.787095628,0.384302711,0.321284129,IED_O1
3.073674641,9.914417796,14.19923357,3.295280339,2.339882997,IED_AF3
2.603785234,9.958321394,13.66977217,3.525640822,2.297963879,IED_AF4
3.068601324,2.543116599,4.140864288,2.172602456,1.435985515,IED_T7
2.183726303,4.401516637,9.32215869,2.795458708,2.726520683,IED_T8
0.387781645,0.805763841,0.673208129,0.238861499,0.349905233,IED_O1
2.421444659,10.18249843,7.920022942,3.674552476,2.660883734,IED_AF3
2.399732704,14.21694262,8.797993922,2.528097741,2.153152553,IED_AF4
1.888032194,1.895694904,3.523125983,1.962952858,1.535333223,IED_T7
2.265205117,8.225214488,5.696096995,2.390984824,2.061250857,IED_T8
0.454060401,0.830142402,0.760149582,0.264548674,0.345713778,IED_O1
3.121920666,7.77760677,3.128117694,2.229298362,2.685746293,IED_AF3
3.955115311,12.34042451,4.56024491,1.618315574,2.208190936,IED_AF4
2.831013913,2.708258729,1.976121518,1.368425797,1.346080139,IED_T7
2.892264589,8.798773655,2.391678468,1.234964812,1.824853058,IED_T8
0.793554387,0.583117638,0.492203018,0.164150038,0.313757598,IED_O1
3.460760168,4.369409656,4.811827391,2.347017516,2.694442503,IED_AF3
5.468234548,5.947355066,6.015727281,2.56500654,2.349180055,IED_AF4
1.778723267,1.851676709,1.515268456,1.255169766,1.32434301,IED_T7
1.352560413,5.071921137,4.026712669,2.255199127,1.933850065,IED_T8
0.367620301,0.57805092,0.205786263,0.214896861,0.309756061,IED_O1
2.766940365,7.787126411,4.994116583,4.033403596,2.693965979,IED_AF3
4.528252109,7.915708359,5.40992276,4.089389648,2.271889578,IED_AF4
1.214386339,2.352240929,2.100926246,0.865196407,1.543953274,IED_T7
1.060389223,6.489343088,3.810272124,3.462076417,2.74149961,IED_T8
0.125084818,0.310595238,0.326350419,0.283319464,0.303010039,IED_O1
3.199801792,9.932213867,5.870723963,3.114275374,2.422302283,IED_AF3
4.111642676,9.531235708,5.950805772,3.243942444,1.696277155,IED_AF4
1.830623875,4.031398552,2.896248773,0.975172436,1.555553708,IED_T7
1.482986716,7.585268622,4.949609925,2.975024657,2.04949843,IED_T8
0.270275505,0.294795343,0.418223337,0.215090587,0.27606369,IED_O1
4.515722601,9.69017199,10.58850164,2.328066076,2.341386152,IED_AF3
4.089551842,8.147875147,9.786074826,2.576062387,1.758513294,IED_AF4
2.800058771,3.131262933,4.326550208,1.123666052,1.499268863,IED_T7
1.74068747,6.936827326,8.606563714,3.193439767,2.095091572,IED_T8
0.340215202,0.288489271,0.491519982,0.248024795,0.315681572,IED_O1
3.214056592,4.527212947,9.627605447,2.101024645,1.757672491,IED_AF3
2.906209757,4.122657897,9.629454005,2.02124575,1.342082973,IED_AF4
3.137289282,1.67887683,5.474547011,1.083463986,1.006471237,IED_T7
1.089952865,4.46200609,8.702215289,2.28211319,2.237427602,IED_T8
0.202591472,0.288623347,0.354198222,0.313067296,0.308201738,IED_O1
2.346570154,3.193686298,5.947559081,1.823731878,1.358191106,IED_AF3
3.670094566,3.607140917,6.7490507,1.421621441,1.283911505,IED_AF4
1.72509423,2.261121702,3.667476781,0.867192158,0.959134567,IED_T7
1.387013596,3.794158875,4.922328751,1.299472279,2.048533054,IED_T8
0.468569416,0.55670732,0.258692643,0.382217396,0.206814693,IED_O1
1.83105643,2.450727057,4.627864591,1.451118546,1.497219281,IED_AF3
2.415841209,3.20359385,3.629829848,1.134140093,1.563492211,IED_AF4
1.5065215,1.914179972,1.659598707,1.242847159,1.113182514,IED_T7
0.743662951,2.994987237,2.186899489,1.301337181,2.506364013,IED_T8
0.564333618,0.568052714,0.374878585,0.332297413,0.197264985,IED_O1
3.698625453,5.255966627,6.200801564,1.769946616,1.739118582,IED_AF3
3.956619801,6.369904491,5.905633209,1.471721925,1.746926726,IED_AF4
0.944032697,2.148504474,3.212251992,1.14495753,1.189450094,IED_T7
0.593548898,4.3911335,5.186249742,1.566916607,2.115678563,IED_T8
0.445489982,0.353331289,0.489405396,0.297899815,0.219389846,IED_O1
5.449885176,4.509389286,7.585662252,2.962422994,2.198797201,IED_AF3
6.274861999,4.632034996,8.854043292,2.409131777,1.815381883,IED_AF4
1.260444003,2.1394754,5.027112257,1.459883922,1.429604743,IED_T7
1.526354681,4.366738111,8.077937495,2.323769177,2.322248327,IED_T8
0.247652737,0.287383492,0.59395126,0.356740836,0.195342014,IED_O1
4.302659043,4.916118614,5.571455644,3.646479385,2.723020165,IED_AF3
3.075283582,5.449288118,6.650673975,3.028298189,2.252430399,IED_AF4
0.944944441,1.732424178,2.637003852,1.789487295,1.290923908,IED_T7
1.898275843,6.785317535,4.635305987,3.808725411,3.138779434,IED_T8
0.143476131,0.261142527,0.292744708,0.410361947,0.179788027,IED_O1
3.011600746,10.59391373,10.03323547,3.5525692,2.432800884,IED_AF3
3.581127689,12.6707898,10.60068272,3.579610203,1.965636398,IED_AF4
0.945141662,2.629930475,2.284633415,2.061087186,0.743486471,IED_T7
2.222982884,11.57470887,8.857631827,3.916003069,2.101392739,IED_T8
0.347704489,0.420748555,0.133094726,0.316339286,0.187532082,IED_O1
4.014213771,6.951511864,12.103691,5.098664106,3.391073659,IED_AF3
5.736311412,7.853785909,12.43575339,5.955149689,2.916612044,IED_AF4
1.501179945,1.936822006,2.912584994,2.519570515,1.401202944,IED_T7
2.294049413,6.709147619,12.15358822,4.876472022,3.076598755,IED_T8
0.223281215,0.449510748,0.14584929,0.280196443,0.274038842,IED_O1
3.147003673,7.282533311,4.707077606,3.569951359,3.588100673,IED_AF3
4.359976004,5.678158791,4.528058285,3.631075737,3.264204669,IED_AF4
0.817501195,2.28511022,1.570313465,1.517041381,1.564893376,IED_T7
1.942780391,6.317001836,4.480490827,4.083504975,3.245281231,IED_T8
0.346333667,0.340106347,0.235558796,0.210990984,0.395409724,IED_O1
3.356259594,6.253320423,5.757862478,4.025284308,2.897634786,IED_AF3
4.23072542,5.774014756,5.055901025,2.87495738,2.252985952,IED_AF4
0.462777824,1.947505106,2.961893897,1.360311498,1.155045184,IED_T7
3.726425449,5.975226629,6.410579847,5.181857223,2.393495183,IED_T8
0.436981061,0.410297803,0.302781209,0.251785122,0.325429709,IED_O1
2.626029495,5.844475638,6.922587565,4.839495444,2.405194954,IED_AF3
3.945022054,5.724013269,4.304887233,3.862767342,2.208841682,IED_AF4
0.542279007,0.86676338,1.926466248,1.896499897,1.356654779,IED_T7
2.336272319,4.698095244,4.686343503,4.166019553,2.637526911,IED_T8
0.260901053,0.31689659,0.285072436,0.418369407,0.356796183,IED_O1
1.879991155,9.249691504,13.44015423,4.15723451,3.069908514,IED_AF3
2.128448724,8.043438617,11.04040846,3.627011154,3.0776334,IED_AF4
0.555751531,0.762110548,2.45745405,1.2612379,2.128628388,IED_T7
1.141741178,5.189814165,7.33242178,3.770849146,2.503593301,IED_T8
0.153660375,0.213168609,0.351691982,0.464986758,0.33106723,IED_O1
2.45863211,13.76524397,13.99053887,4.199665048,2.757719157,IED_AF3
2.781178139,12.12611697,11.34206375,3.146645272,2.387525939,IED_AF4
1.243852728,0.634617269,2.29331108,1.63672619,1.912784306,IED_T7
2.265997359,7.454553517,8.254658772,2.559292915,2.183431925,IED_T8
0.222858332,0.243031928,0.556902986,0.467300016,0.314621593,IED_O1
2.78879739,12.60242343,11.1266187,5.997416856,2.758502596,IED_AF3
3.243337503,11.47782443,10.86934313,4.505212452,2.257136235,IED_AF4
2.614298424,1.616061408,2.714335497,2.243712362,1.594955009,IED_T7
2.662744246,5.598855241,8.885490631,2.777243629,2.348678793,IED_T8
0.505590961,0.504051934,0.508348944,0.316785874,0.41915061,IED_O1
2.72301968,8.858799742,12.95562228,6.906528643,3.158514579,IED_AF3
2.606317064,8.138603386,14.30161365,5.969638044,2.97775792,IED_AF4
1.224720758,3.273660544,4.484969842,2.657608486,1.518930694,IED_T7
2.973136261,7.338498762,13.05801118,5.477382727,3.270039849,IED_T8
0.462541746,0.630375836,0.52230916,0.304537159,0.382987145,IED_O1
3.996887858,11.0686147,12.36356867,5.68022617,3.719399887,IED_AF3
4.769781001,11.33261997,14.53588372,4.833368251,3.635008086,IED_AF4
0.930542435,2.30161904,3.488279897,1.765883906,1.778960485,IED_T7
2.972708556,8.895542727,13.54848237,6.283940547,3.046182546,IED_T8
0.466457501,0.637061355,0.502858026,0.405250394,0.378393641,IED_O1
5.906769008,6.936151527,35.57773267,8.320764952,5.856975374,IED_AF3
7.091824117,8.650834521,36.25319995,8.013892074,5.052153114,IED_AF4
3.29673562,1.252872297,10.16057909,3.645467634,2.086984623,IED_T7
2.685368916,8.656594606,39.83910483,15.59757437,3.328224817,IED_T8
0.435455364,0.479670234,0.990412127,0.591388121,0.454983584,IED_O1
11.23817915,19.40545485,47.98049549,25.43304091,12.63462943,IED_AF3
11.32069809,15.44592155,41.85829072,16.11432949,9.536560512,IED_AF4
5.83080094,4.381591577,12.32172733,6.88735109,3.467675376,IED_T7
4.591515373,12.05203184,39.77674783,18.04036346,7.097823346,IED_T8
0.518979977,0.357507742,0.984369149,0.61526594,0.491346085,IED_O1
12.0122772,28.93623366,47.48067618,26.29367654,14.83074807,IED_AF3
10.06858322,22.76301214,39.32124269,17.65952931,12.19741977,IED_AF4
6.797202112,10.33478146,13.88597323,7.206656889,4.91416257,IED_T7
4.641056177,11.08668089,28.05018683,11.95129421,9.978497215,IED_T8
0.752404315,0.400709557,0.735988053,0.554767269,0.499321097,IED_O1
4.201066334,11.49457804,24.46038014,10.08921586,6.830096573,IED_AF3
3.139250594,10.13443635,19.76665856,7.534901231,5.756354368,IED_AF4
2.308718248,6.838352756,6.72968596,2.335498225,2.931630739,IED_T7
3.190674961,5.47175319,15.13739442,5.372833728,5.673236868,IED_T8
0.410175434,0.551575809,0.375247536,0.397556754,0.375663506,IED_O1
1.614643929,7.281604613,10.94069638,5.94701839,3.670650572,IED_AF3
1.642197089,6.330874492,10.2161876,3.623793493,2.533889358,IED_AF4
2.073808376,4.558909513,2.112777722,1.922590552,1.354062283,IED_T7
1.316252278,4.72997967,9.99356143,3.177945096,3.017882585,IED_T8
0.529457445,0.531773626,0.311385329,0.278627054,0.176807347,IED_O1
1.691607759,20.02126673,15.25641991,7.467135678,3.309850538,IED_AF3
2.098027042,20.4679401,18.6954212,6.310340972,3.24283917,IED_AF4
2.746930689,7.581886611,5.199036731,2.686181996,1.568366035,IED_T7
1.807284611,14.48758854,17.84373821,5.736884741,2.596173024,IED_T8
0.501298497,0.551193726,0.461706369,0.435797335,0.254779083,IED_O1
0.983036013,23.4504093,16.32307092,5.523226647,4.33164813,IED_AF3
1.208800499,27.50233454,21.11507321,5.417400726,3.927157413,IED_AF4
1.649146602,6.417676209,3.955771022,1.988776016,2.020478109,IED_T7
2.503848879,20.59773607,17.41953606,4.969079731,3.249209501,IED_T8
0.424405418,0.539715721,0.400526385,0.297506897,0.405215358,IED_O1
1.565230653,14.0145322,13.77735813,2.711476067,4.180239337,IED_AF3
1.878624527,16.60210168,18.62025973,3.005689971,3.601436779,IED_AF4
1.029044498,2.974950789,2.831300322,1.250410731,1.924760802,IED_T7
2.302930997,14.08945331,13.07507675,2.44773391,3.592503987,IED_T8
0.486347513,0.468740298,0.522529669,0.148117126,0.484748413,IED_O1
2.710477076,5.497546415,10.5367711,5.495295474,2.317978526,IED_AF3
2.83190269,6.019356988,14.25073883,4.107350884,2.03496881,IED_AF4
1.511022006,1.395956061,2.720972127,1.770618831,1.57591939,IED_T7
2.198478124,6.822912739,8.179806524,2.936354202,2.252880363,IED_T8
0.542016408,0.329475629,0.703837865,0.30828244,0.314339216,IED_O1
6.99084887,6.709988291,4.14319343,8.296421491,2.804067798,IED_AF3
5.132423811,6.795047823,4.595914961,5.459079963,2.071313233,IED_AF4
2.341847603,2.351498107,1.817880379,2.706313057,1.71212515,IED_T7
3.05849157,8.879605795,3.341175025,4.322312249,1.888075365,IED_T8
0.625764623,0.246840744,0.349990025,0.523679405,0.273746052,IED_O1
4.468360442,7.633850993,4.030957596,5.795396177,4.14544259,IED_AF3
4.447748337,8.905405006,3.873699285,4.92631168,2.700063416,IED_AF4
2.592462728,3.114345007,1.777636302,2.491073522,1.866285624,IED_T7
2.401419733,14.08830239,3.274833519,3.75886269,2.267822439,IED_T8
0.434247529,0.24549004,0.215674951,0.495067484,0.312724821,IED_O1
2.980396253,7.460232447,6.862779291,4.605561293,3.852109627,IED_AF3
2.33156781,9.430868706,7.73335755,4.281065374,2.05078125,IED_AF4
2.505901831,3.8614977,2.705338555,2.180495932,1.488457219,IED_T7
2.534648778,13.01573559,8.711756618,3.774446365,2.138985595,IED_T8
0.492158565,0.156100816,0.225174798,0.614058757,0.365000989,IED_O1
3.221552541,11.43160402,17.60622263,5.402500975,3.574430981,IED_AF3
2.271004231,12.64048737,19.23916461,4.82199774,2.720970143,IED_AF4
2.34761292,5.381323512,4.137073082,2.395289968,1.520884917,IED_T7
6.536276726,23.44414041,15.76895337,4.748264668,3.203993562,IED_T8
0.419446093,0.162810613,0.308320149,0.525738761,0.299983949,IED_O1
2.643054683,13.65995076,23.87450901,7.28983027,3.854038633,IED_AF3
2.618449085,14.07804129,25.79505973,6.697600936,3.076544503,IED_AF4
1.434233566,3.554281619,5.563124068,3.174193959,1.493509553,IED_T7
7.756230853,28.99423046,15.01493529,7.858034495,7.001940162,IED_T8
0.468370065,0.262023149,0.28278324,0.472351833,0.239187748,IED_O1
3.777432302,9.873773441,18.80318554,6.016695643,3.071413302,IED_AF3
4.421738778,11.54156539,16.84209779,5.809536697,2.707296346,IED_AF4
1.092308449,3.074492393,3.626084188,3.199152229,1.230499635,IED_T7
10.24898131,13.16107986,17.49014604,9.406696479,9.103526259,IED_T8
0.532533312,0.280888299,0.334103074,0.49790908,0.188330311,IED_O1
