Theta, Alpha, Low_beta, High_beta, Gamma, Channel
,,,,,
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
85.05209705,32.19880093,19.47055983,9.537405602,3.552924342,IED_AF3
86.57424555,34.28655125,24.554255,12.01303761,7.255258048,IED_AF4
92.15842854,39.44846621,26.98178329,19.16715075,15.60545311,IED_T7
95.01402225,36.67818253,22.03473896,11.66850727,8.290899916,IED_T8
87.82995707,29.63141112,14.76026576,6.519517254,1.985654034,IED_O1
4.280333771,3.212219431,4.901271521,2.440218596,1.808327136,IED_AF3
5.212867873,3.719167813,5.362099723,1.346890339,1.209846939,IED_AF4
0.408252192,0.295823183,0.253194324,0.249453576,0.305057465,IED_O1
3.588094293,2.857095194,5.4995001,2.87297457,1.640778686,IED_AF3
4.468507913,3.719108509,6.058606397,1.588400681,1.312548518,IED_AF4
2.267241475,1.910617286,2.064131933,0.673983771,1.199173274,IED_T7
17.93205179,8.504857252,10.55713714,2.870323172,4.222244184,IED_T8
0.28245009,0.203093121,0.204656478,0.171449255,0.297608528,IED_O1
6.420589786,8.276584102,2.927801896,2.343607281,1.948909244,IED_AF3
6.957378461,10.2776796,3.172698095,1.641276134,1.669551561,IED_AF4
1.40280357,1.703095185,1.385565832,0.801961987,1.233886244,IED_T7
9.236202508,5.677681775,4.166598416,4.648614517,4.147458206,IED_T8
0.260336762,0.161828624,0.282087251,0.29008491,0.394760051,IED_O1
10.54985591,15.87279941,4.066370095,3.415911658,2.058131958,IED_AF3
13.15548399,17.84465722,3.926827435,3.262831993,1.427746331,IED_AF4
1.260151121,2.010014819,1.189742168,1.239812396,1.051590338,IED_T7
13.1578587,8.018627659,3.794772349,4.549058768,2.83396613,IED_T8
0.254556104,0.348525399,0.557842894,0.499488517,0.314622196,IED_O1
3.904752438,7.8169832,4.902327955,3.713704219,1.280867101,IED_AF3
5.938184571,8.123021623,4.452782214,2.077552887,0.939076527,IED_AF4
0.643637696,1.531474166,1.054762802,0.97331406,0.807646912,IED_T7
17.38345743,4.898623988,1.856856528,2.907944287,1.393950562,IED_T8
0.308362244,0.350131218,0.405691507,0.325657079,0.252763062,IED_O1
1.993998872,3.201281059,4.380028199,3.784823307,0.961252631,IED_AF3
3.745055958,3.272443881,4.485925448,2.006799193,0.914405506,IED_AF4
0.734304017,1.086305832,1.043435927,1.2858018,0.910547442,IED_T7
16.93212483,3.464681405,2.219318509,3.073446196,1.043807852,IED_T8
0.312909996,0.233296896,0.137091775,0.299337757,0.224127,IED_O1
2.361506229,1.85287571,3.740870337,3.195016081,1.064037384,IED_AF3
2.309504681,1.675286646,3.223741606,2.105422044,0.993339419,IED_AF4
0.891159892,0.831591399,1.5416692,0.84240795,0.954005822,IED_T7
21.31852858,8.272722805,4.039641425,3.665275732,1.5531258,IED_T8
0.242204886,0.28823187,0.181184134,0.25242945,0.212283114,IED_O1
4.843056058,3.7553175,4.029178733,2.130920664,1.312294707,IED_AF3
5.22032773,2.884474253,2.980260747,1.557203744,1.026336919,IED_AF4
1.386971832,2.03310325,1.285425206,0.57156745,0.565285449,IED_T7
19.94856637,6.689885936,4.203578572,3.649043557,2.283808798,IED_T8
0.465427965,0.359988664,0.160495866,0.367551334,0.291028422,IED_O1
9.089836646,5.377081865,3.387763989,1.435570816,1.132290159,IED_AF3
13.67802264,3.790956871,2.612577219,1.498131511,0.865653058,IED_AF4
2.089433858,2.516124058,0.893901301,0.754972398,0.487179959,IED_T7
28.22213167,3.340863289,3.469725097,4.249969188,3.053289313,IED_T8
0.484882346,0.408277499,0.163809628,0.399304945,0.214732177,IED_O1
4.881513251,3.677334477,3.003548844,2.514829721,1.026158747,IED_AF3
7.61329052,2.461597668,3.90211076,2.403217941,0.763652413,IED_AF4
1.448342398,1.335315122,3.059074345,1.427386349,0.767054458,IED_T7
24.62873695,5.276762237,2.512789778,3.3618181,3.150214391,IED_T8
0.449169335,0.323635776,0.28065772,0.27500265,0.162181537,IED_O1
7.298525428,5.003831812,2.476531025,2.954227306,1.38493378,IED_AF3
7.906073115,4.595666372,3.974325807,2.66247535,1.040972643,IED_AF4
1.195719235,0.846913669,2.568761667,1.284542637,0.60478001,IED_T7
16.17673631,5.555748363,2.58049152,2.032198293,1.766660686,IED_T8
0.255964582,0.402121638,0.377367241,0.237547135,0.166047454,IED_O1
13.67078827,4.222267789,3.251884707,2.184856037,1.871748388,IED_AF3
14.51434868,4.600361418,3.449190136,1.7589914,1.351598886,IED_AF4
1.833788865,1.042152343,1.644021364,0.688711581,0.636853514,IED_T7
23.22611545,2.736486815,2.092438852,1.322282652,1.329858069,IED_T8
0.231723548,0.457882833,0.56658234,0.287361678,0.295327713,IED_O1
17.92517754,3.383240606,3.077405624,1.60644391,1.854258294,IED_AF3
19.2835676,3.117578551,2.655450897,1.417456035,1.019423796,IED_AF4
3.644852004,1.170449602,1.377502673,0.652429286,0.809178328,IED_T7
36.99274779,5.726886579,2.469447775,1.181016076,1.047030677,IED_T8
0.680701946,0.595686393,0.257192226,0.263038862,0.342800987,IED_O1
12.40253861,5.304248146,1.811442484,1.424455828,1.727809518,IED_AF3
12.58371505,3.930224199,1.703262168,1.758232467,1.272309583,IED_AF4
2.991338196,1.361643562,0.62100685,0.59928749,0.707866063,IED_T7
66.57440865,17.44440094,3.504611908,1.604002888,1.525515344,IED_T8
0.557673665,0.45998679,0.119862479,0.175043519,0.329785713,IED_O1
13.33964462,2.373444754,3.491887831,1.84807301,1.186574444,IED_AF3
14.48800736,2.303361535,3.789669092,1.71784056,0.888884716,IED_AF4
1.008472674,0.834586899,0.865123545,0.68763355,0.736375209,IED_T7
28.5543014,8.634604211,4.843332418,1.526430152,1.299763481,IED_T8
0.38778694,0.343631281,0.157268147,0.223628505,0.3305576,IED_O1
3.987464151,1.221038182,6.354415908,2.115642001,0.949647555,IED_AF3
4.417432683,2.267096173,7.83316553,1.959532137,0.537163246,IED_AF4
0.57092766,0.310991149,1.278424048,1.085585079,0.666898464,IED_T7
35.28390897,7.47587622,6.126467728,2.177912138,0.908354089,IED_T8
0.580084194,0.134585523,0.343524973,0.373362547,0.365704816,IED_O1
1.499582411,2.373314806,4.6845253,1.963785461,0.885466282,IED_AF3
2.427185514,2.973499007,5.007586849,1.398471047,0.674694741,IED_AF4
1.188141984,0.50690976,1.324726165,0.832036905,0.477907528,IED_T7
79.79618003,17.59320915,6.224564633,1.982690434,1.264456784,IED_T8
0.376443427,0.213491142,0.451252455,0.488184141,0.282554516,IED_O1
9.530567618,4.565457506,2.12021909,1.374596677,1.095410581,IED_AF3
13.88573721,4.475714021,1.797312818,0.939524996,1.102457291,IED_AF4
1.862499605,1.182763671,2.042854061,0.73314433,0.701047072,IED_T7
53.72696085,17.9070643,6.743053659,2.22229449,1.938021372,IED_T8
0.330856566,0.430708438,0.390363178,0.464538038,0.294414176,IED_O1
18.36859541,7.609959954,3.47212101,1.460290593,1.553565559,IED_AF3
22.26305092,8.665911975,2.557408899,1.354604822,1.216119297,IED_AF4
0.950862394,1.879218286,2.808217712,0.895620426,0.847157811,IED_T7
68.70578773,23.9061334,5.990219164,1.805905995,2.01002528,IED_T8
0.451762728,0.596311516,0.443768478,0.253408499,0.237964986,IED_O1
12.58040452,6.901365641,5.096403731,2.303663078,2.114420605,IED_AF3
15.07629036,8.80044937,5.838858429,1.698815403,1.33418063,IED_AF4
1.407844538,3.088316336,3.313030057,1.283352023,1.011243528,IED_T7
95.49999231,20.0658278,4.292440703,0.9406543,2.355359531,IED_T8
0.318891313,0.818566626,0.289027188,0.281172079,0.212022257,IED_O1
6.055424598,6.398157782,3.801682683,3.256910936,1.849857617,IED_AF3
8.367721628,6.595356837,4.989153457,1.927409776,1.285751548,IED_AF4
2.281974677,2.327761601,1.565374216,1.052624847,1.024786085,IED_T7
59.89755243,10.46925881,1.859241025,1.270587435,1.64981212,IED_T8
0.263168601,0.558836084,0.169279506,0.395257531,0.314305849,IED_O1
1.733416886,5.730937017,4.9852288,2.08640044,1.462627223,IED_AF3
3.42911783,5.653390939,5.244290601,1.390839596,0.982636484,IED_AF4
1.215542701,1.828410231,2.190911956,0.985430438,0.871502841,IED_T7
45.36835647,10.67543244,2.883135292,1.493846326,0.848387085,IED_T8
0.248328908,0.786316395,0.154209153,0.376786059,0.328794174,IED_O1
1.620812018,4.844242744,4.037408663,2.384210859,1.596547037,IED_AF3
3.919995724,4.31683953,2.732310493,1.867484408,1.253668383,IED_AF4
1.730134136,1.800646309,1.117662334,1.135477685,0.833453949,IED_T7
35.78092411,14.10280487,2.558414651,1.728064854,1.231732902,IED_T8
0.624117605,0.498701658,0.297208351,0.26692079,0.282019532,IED_O1
2.434717741,3.347717708,2.724178932,2.636141901,1.318492545,IED_AF3
4.495022077,3.149644406,1.673895645,2.68822339,1.465236274,IED_AF4
1.129984299,1.307346895,0.494459744,1.444512049,0.80790681,IED_T7
14.4140528,7.284036975,1.895587985,2.155501289,1.303987774,IED_T8
0.856568232,0.390642586,0.692487497,0.353540533,0.227938764,IED_O1
3.080356791,2.858384869,4.612405665,2.307677873,0.964586882,IED_AF3
5.260420708,4.469752084,3.866248455,2.464131225,1.177987585,IED_AF4
0.716538622,1.151855732,2.047269983,1.385797191,0.766222852,IED_T7
96.01666588,20.70269616,3.081716273,2.627527329,1.434293863,IED_T8
0.56664451,0.439642805,0.47902258,0.44531406,0.20199518,IED_O1
5.8358908,4.706091931,4.004589655,2.374348061,0.871327852,IED_AF3
7.950627884,5.70350149,3.958228393,1.742296305,1.07450618,IED_AF4
1.413470714,1.459489362,2.159290507,1.087344553,0.720063832,IED_T7
88.11555719,19.82526938,2.720950844,1.56151914,1.17022891,IED_T8
0.35055097,0.319643944,0.148123484,0.36292363,0.255609587,IED_O1
4.149606116,6.950391794,1.761186792,1.900270847,1.204968902,IED_AF3
4.964721711,7.465541218,1.812057609,1.475784186,1.198614698,IED_AF4
2.305281846,1.450280699,1.552350624,1.070154879,0.71924503,IED_T7
19.03596481,11.48000606,1.301393699,1.20381854,0.860497248,IED_T8
0.362780249,0.311317968,0.125290685,0.421702503,0.434726641,IED_O1
2.402340768,6.316615926,2.457386261,1.595506381,1.831391165,IED_AF3
3.405025322,5.659070063,1.462445773,1.294681047,1.439658262,IED_AF4
0.98765296,1.264345861,0.89970891,0.996489619,0.83205645,IED_T7
14.68058959,6.88363121,1.969983488,1.147356291,1.676777259,IED_T8
0.268465746,0.390695366,0.233635265,0.270668705,0.332500486,IED_O1
2.573678954,3.005063083,3.248410173,2.542826407,1.351790616,IED_AF3
3.479869303,2.092206338,3.469851032,2.153626832,1.12539522,IED_AF4
1.067514328,0.919789478,1.417194039,0.817260717,0.647905381,IED_T7
9.335310758,3.490499163,2.390684681,1.647311913,1.342345471,IED_T8
0.232218734,0.242042872,0.340381024,0.329342802,0.318095479,IED_O1
2.087732392,1.713645155,3.859707347,3.221287267,1.56372095,IED_AF3
3.159711523,1.441261843,3.498750511,2.74469777,1.300605078,IED_AF4
0.784181651,0.738555599,1.391002026,0.872326251,0.998234482,IED_T7
8.017482321,2.462941206,4.503064239,1.858441247,1.56449342,IED_T8
0.356234006,0.549493402,0.362414128,0.206837192,0.297203889,IED_O1
1.801488481,1.711744553,6.146685178,2.135986353,1.97963567,IED_AF3
3.153584475,1.535578105,5.606024056,1.762365787,1.605585808,IED_AF4
0.463601275,0.467911266,1.334700589,0.864363435,1.252651826,IED_T7
11.52725099,5.353495236,9.262464878,1.46231705,1.89333314,IED_T8
0.344593099,0.37468043,0.299455172,0.191133474,0.306403661,IED_O1
12.05860232,3.437340621,10.10246566,3.003475994,1.868476707,IED_AF3
12.70579305,3.223226456,10.10969908,2.189045167,1.640606847,IED_AF4
0.379770706,0.804337466,1.988748411,1.264966359,1.171654367,IED_T7
49.98011021,8.564839231,14.22599194,3.37840027,1.471119226,IED_T8
0.180090764,0.21165,0.41378291,0.353249182,0.337538664,IED_O1
17.07639795,4.465752419,8.853120544,2.772782963,2.002663715,IED_AF3
15.90215887,4.415686052,8.902255558,2.341814762,1.850139081,IED_AF4
0.718894008,1.829700734,2.056507432,1.386848245,1.209845934,IED_T7
168.5796481,15.59713947,11.82000558,3.519747965,1.653427574,IED_T8
0.235896884,0.205719318,0.70266593,0.432811667,0.303634026,IED_O1
3.651583927,3.00596927,4.511282491,2.546295619,1.669516213,IED_AF3
4.064888065,3.487590395,5.171993368,2.574626694,1.459943187,IED_AF4
1.337551657,2.294570367,1.347345962,1.122498666,0.794622766,IED_T7
70.49905737,9.059165795,5.799931116,2.977937237,1.784670491,IED_T8
0.203659783,0.334879256,0.623123431,0.299416883,0.267847916,IED_O1
2.734528219,3.542308477,4.203690268,3.533848286,1.440571414,IED_AF3
3.366835827,3.039384262,6.49964854,2.92956054,1.176646582,IED_AF4
1.81310734,1.798335677,1.368673421,0.771309834,0.514305819,IED_T7
26.20815082,5.875191679,3.902783442,2.942566274,1.450746688,IED_T8
0.163768837,0.219186599,0.529727403,0.294314239,0.255122999,IED_O1
10.38067222,3.670105599,3.678275829,5.611560609,1.317426083,IED_AF3
11.56567341,3.465027141,5.432467015,4.997652587,1.193374464,IED_AF4
1.849503421,1.585107316,1.358574366,1.137228448,0.636953004,IED_T7
92.65920866,17.21845595,6.681882543,3.321053518,1.358748656,IED_T8
0.169360201,0.207466529,0.283403303,0.33768315,0.185054502,IED_O1
7.758895709,2.610287512,2.973105519,4.257065223,1.892534169,IED_AF3
7.049864035,3.222784226,4.569261939,4.607611382,1.684884737,IED_AF4
2.282506783,0.923106293,1.750211344,1.64820359,1.054431851,IED_T7
82.0306126,14.78082592,6.047986838,3.688389771,2.028781556,IED_T8
0.175707165,0.372046865,0.270435202,0.401437991,0.16151108,IED_O1
2.531623546,2.33478898,3.048953925,3.10193941,1.730960374,IED_AF3
2.46248824,2.749647968,4.33522535,3.213094665,1.406839725,IED_AF4
0.759130906,0.787266107,1.341269163,1.415108537,1.047128042,IED_T7
17.16560035,4.271237921,5.939411998,3.382675544,1.957572539,IED_T8
0.176832111,0.248898,0.148433056,0.342615109,0.195507339,IED_O1
1.965965593,2.445550528,3.512266082,4.038728271,1.477840602,IED_AF3
3.081472868,2.968662054,3.320465311,3.709302203,1.26840954,IED_AF4
1.212921003,0.930530429,1.36870922,1.387808444,0.847851183,IED_T7
44.35922397,19.38458581,12.05215606,5.529021696,3.194705815,IED_T8
0.419116958,0.27579916,0.137643289,0.265388416,0.337923554,IED_O1
2.93831451,3.972105329,3.731714152,4.641178737,1.367687764,IED_AF3
3.653710145,4.425222682,3.373995047,4.284591987,1.365172892,IED_AF4
1.633473209,1.707146516,1.887527797,1.872381137,0.92904693,IED_T7
76.47592753,21.76214767,11.81364497,5.870496059,2.772262349,IED_T8
0.391138494,0.392165658,0.311377631,0.380692175,0.378784702,IED_O1
3.618838734,5.155615272,4.101570198,1.844326902,1.175177855,IED_AF3
4.490369348,5.471189093,3.24407401,1.801261613,1.056987242,IED_AF4
0.754597536,1.463431803,2.011001885,1.113619813,1.025715871,IED_T7
193.5155882,23.62543507,11.94454129,2.950446968,1.882652639,IED_T8
0.11571966,0.306215294,0.271467178,0.329824317,0.295011925,IED_O1
5.194011527,7.264105285,4.012229811,1.270428816,1.370664811,IED_AF3
7.315245691,8.361333447,2.956615369,1.607945665,0.954163542,IED_AF4
0.553037135,1.682027432,2.583715894,1.211012647,1.066880699,IED_T7
133.7255872,14.49361549,7.652236484,3.119012151,1.677037627,IED_T8
0.187020073,0.252297198,0.210814564,0.324338525,0.254147939,IED_O1
5.194011527,7.264105285,4.012229811,1.270428816,1.370664811,IED_AF3
7.315245691,8.361333447,2.956615369,1.607945665,0.954163542,IED_AF4
