Theta, Alpha, Low_beta, High_beta, Gamma, Channel
,,,,,
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
98.47206366,37.19586556,176.2119931,21.94553598,27.61701752,IED_AF3
103.217323,45.59072003,208.1232309,30.86979444,38.04579718,IED_AF4
94.21150917,30.35132864,71.88313578,14.05699707,14.31161682,IED_T7
89.59730765,34.67392541,198.8491165,19.4676625,22.7039931,IED_T8
88.32364351,29.97211279,18.95541646,7.943260168,3.912014381,IED_O1
16.58829142,25.65537622,260.3111139,35.88318062,61.2367145,IED_AF3
20.92493343,27.87716614,300.208821,40.57858613,63.83588367,IED_AF4
14.96196516,7.434212384,78.82919269,13.60502878,27.35178109,IED_T7
8.25707748,16.26377642,282.3194528,33.72124782,50.57257181,IED_T8
0.794394878,0.569566177,4.590589675,0.526497838,1.736846156,IED_O1
24.58011309,59.04312274,281.3931706,72.70694764,71.17940349,IED_AF3
33.46603598,64.26265167,324.6794084,81.30302732,72.07784326,IED_AF4
21.50535946,16.43579489,90.07218226,27.93591934,32.9582017,IED_T7
12.06428324,44.88331157,302.2111257,76.13075977,56.14850407,IED_T8
1.371044796,1.23730062,4.489800317,1.298931128,1.502532624,IED_O1
14.78948235,49.08972951,200.6302039,71.18999478,53.42810099,IED_AF3
18.37237843,51.42079182,235.6738723,75.61468904,52.09330209,IED_AF4
10.31716696,15.33107401,67.62111127,27.85689497,25.70279431,IED_T7
6.203507425,31.37244668,231.3356884,73.06304554,39.02830275,IED_T8
1.647163646,1.064031758,2.312045037,1.119874437,1.226677656,IED_O1
6.924771633,16.18177392,93.82782064,21.07454062,19.59729419,IED_AF3
6.110472802,14.55180967,113.8433016,21.17998568,16.89885969,IED_AF4
3.877198342,4.149723227,33.52369825,9.533254493,8.664334132,IED_T7
4.251949927,10.7310292,128.6605745,23.49414878,17.88157057,IED_T8
1.039469943,0.345406421,1.329460934,0.448887908,0.608410021,IED_O1
8.02548179,8.204289417,47.81055881,9.583260608,8.880300583,IED_AF3
4.110800082,8.181100291,55.03721946,10.99976213,7.641738304,IED_AF4
6.935484501,1.277347434,14.96463497,4.892133632,5.358839766,IED_T7
4.871643525,11.5605282,73.88610414,15.69287392,14.15430655,IED_T8
0.96272512,0.249027636,0.660554947,0.482936835,0.442992124,IED_O1
6.212209029,16.71518015,48.65696888,15.79093585,7.673503036,IED_AF3
5.111925976,18.32551364,51.59870215,16.73210476,7.4635225,IED_AF4
6.962037248,2.822332874,12.71035103,4.514757763,5.203559078,IED_T7
4.328006268,15.71009579,52.2203605,17.67795936,11.8563961,IED_T8
0.669743295,0.296170707,0.604866827,0.531272076,0.513311062,IED_O1
4.120090192,19.48983366,84.27919858,14.85968097,11.3097786,IED_AF3
4.189086971,19.54362946,91.38724684,15.55456769,10.91826402,IED_AF4
3.222534172,2.804580802,20.64623606,5.71021671,5.888198063,IED_T7
6.199774143,13.48080638,81.255288,16.34381963,14.38396428,IED_T8
0.876966102,0.665811134,2.165342269,0.531541689,0.495154863,IED_O1
7.105701393,32.82168539,138.4949308,22.89661968,21.29357521,IED_AF3
6.637081235,35.46956223,152.5178125,24.8842774,20.13805637,IED_AF4
3.066571502,6.802902959,47.2921812,9.591175986,10.37891192,IED_T7
15.70255026,28.1678453,138.9276778,26.18769656,24.68135617,IED_T8
0.698739297,1.253927211,3.145772133,0.564624638,0.735955973,IED_O1
22.70834479,114.2802354,207.5355799,63.98893447,64.0912572,IED_AF3
25.63493774,140.8409097,236.4990604,75.09669031,65.42314403,IED_AF4
4.372283279,33.98890545,76.29802643,30.36983564,30.74308388,IED_T7
16.28003424,94.4726969,208.0549479,69.20434315,54.73508809,IED_T8
1.956457556,1.326193136,2.085267695,0.709414213,1.719596629,IED_O1
24.25340463,81.93330563,170.7256994,71.99893978,60.0131108,IED_AF3
26.7903351,95.41191389,196.9204806,81.0200625,62.34871019,IED_AF4
6.836450235,21.61923113,57.95348935,31.3627286,28.34630698,IED_T7
21.42445591,68.53978275,199.8554439,73.10192237,59.21000991,IED_T8
1.824988861,0.846756187,2.71558927,0.989814753,1.347111629,IED_O1
13.23713869,57.75360448,184.8287327,43.62740344,37.67346983,IED_AF3
14.0996335,58.44875302,204.8105721,48.11607948,39.23089436,IED_AF4
5.235122707,13.50661475,51.29201377,16.39251697,18.16866349,IED_T7
17.45896242,56.27893245,222.114404,37.29942638,42.88242993,IED_T8
0.638816017,0.702271159,2.992090124,0.983350064,0.748567355,IED_O1
7.553970492,37.81129789,197.4650224,36.75495272,31.39234311,IED_AF3
6.270989384,40.43265175,228.174964,38.42189701,31.3015816,IED_AF4
2.530724034,9.983697391,55.84596694,14.81969352,15.14385281,IED_T7
33.90451425,39.21551559,238.5716071,33.08224841,27.58605041,IED_T8
0.365904694,1.070378606,3.034586799,0.896333571,0.96938682,IED_O1
7.881829327,24.28849877,221.3204797,51.79158638,33.96712498,IED_AF3
5.540318957,25.490457,253.672292,54.90255707,33.2581175,IED_AF4
2.407743369,7.916123809,62.81354355,21.16071411,17.37846782,IED_T7
17.55824419,23.35052273,233.1377653,43.23105572,26.29679657,IED_T8
0.238343587,0.720661285,3.635768717,1.317904999,1.113820102,IED_O1
9.092408727,26.29967667,171.1670669,24.9202091,17.12503105,IED_AF3
7.714176721,24.71950341,192.1054569,25.84763787,17.50112214,IED_AF4
3.475744919,7.875105217,50.38058869,10.25882503,9.157234683,IED_T7
13.10165583,25.76207809,176.0818019,22.70266274,16.98694887,IED_T8
0.482766604,0.692338439,3.094878187,0.832017006,0.655844786,IED_O1
13.11524031,37.67226922,129.6132713,18.10316497,19.09174155,IED_AF3
8.363160689,36.17206351,149.587547,17.41250702,21.58661835,IED_AF4
3.373743032,10.87403601,43.41489611,7.228273413,10.39639363,IED_T7
26.36143074,43.58308592,146.778605,14.5364894,16.73351082,IED_T8
0.37333301,0.95937706,2.584380988,0.306087213,0.6204862,IED_O1
8.013583663,28.20963591,87.82458119,23.95731176,17.77813102,IED_AF3
5.537361039,29.43970109,109.5887266,22.85142716,20.02602754,IED_AF4
2.42280304,7.838607723,29.31239024,9.401599113,8.828307146,IED_T7
23.10766434,28.48861019,101.0904378,18.8250277,16.44834666,IED_T8
0.273267888,0.911123784,2.027157174,0.34752356,0.517641072,IED_O1
4.415729139,15.92759089,83.59623984,20.35009093,11.60516034,IED_AF3
5.524086141,13.43100787,91.07106168,16.8617047,10.36016862,IED_AF4
2.24158404,3.897443585,23.10620605,6.894723068,5.182454183,IED_T7
23.10972199,19.33597189,79.27811927,15.75150892,11.21655797,IED_T8
0.362412627,0.73882148,1.354031508,0.39930852,0.406523727,IED_O1
4.415729139,15.92759089,83.59623984,20.35009093,11.60516034,IED_AF3
5.524086141,13.43100787,91.07106168,16.8617047,10.36016862,IED_AF4
2.24158404,3.897443585,23.10620605,6.894723068,5.182454183,IED_T7
23.10972199,19.33597189,79.27811927,15.75150892,11.21655797,IED_T8
0.362412627,0.73882148,1.354031508,0.39930852,0.406523727,IED_O1
8.711062181,16.42840981,133.7435621,26.74055972,25.18831235,IED_AF3
8.533838235,13.80648721,157.5109389,27.57539209,23.26086527,IED_AF4
3.221327384,4.756900224,43.43330199,10.86677213,11.64913177,IED_T7
17.79616954,14.84258207,128.0134268,27.02609264,18.37841327,IED_T8
0.448654796,0.725741507,2.374708058,0.607555778,0.733745865,IED_O1
9.754364328,19.99577317,94.04058318,23.27977398,24.22672133,IED_AF3
8.281194049,21.34472297,111.5216125,25.20139402,21.69618038,IED_AF4
3.021545083,6.309996336,29.28699893,9.922819224,10.14735176,IED_T7
21.640531,30.10415021,99.29007222,28.35055858,18.26370881,IED_T8
0.654696363,0.542724567,1.699874861,0.739901482,0.678629919,IED_O1
20.1511794,42.52362155,61.54921684,35.3911164,19.92117032,IED_AF3
17.37350298,49.52680278,69.58793266,34.90702969,17.56331753,IED_AF4
5.43424414,15.36838225,18.20070039,12.53334367,8.129818359,IED_T7
18.74464852,46.7421824,66.51460948,30.45360974,16.74364173,IED_T8
0.813416195,0.602617472,1.054031223,0.783030239,0.546149697,IED_O1
18.96444159,122.8653922,103.3076827,47.93296538,28.19819127,IED_AF3
17.40277409,136.4206694,109.8213707,46.7966273,26.44037314,IED_AF4
6.065877474,40.56802103,32.59658815,19.27318036,11.48101378,IED_T7
19.7902197,98.5020348,105.5643566,40.9248996,22.00581216,IED_T8
1.063731974,1.695125497,2.163270492,1.079042563,0.812814109,IED_O1
9.883375969,120.2689925,62.73175102,38.09447167,23.15464197,IED_AF3
12.04046589,133.6022885,64.950176,37.253078,22.21630119,IED_AF4
4.273029823,34.45172562,22.2577318,16.08191842,8.707327687,IED_T7
25.81176843,102.4455695,65.10226793,38.32729757,18.24470572,IED_T8
1.402572781,1.903267116,1.740197913,0.748444174,0.801240522,IED_O1
7.132066187,32.70827874,21.15106542,18.21401293,9.853365826,IED_AF3
7.248238566,43.06365703,20.95226434,16.10855584,9.194929175,IED_AF4
3.362610765,8.211079326,5.83405378,5.471142781,4.244081008,IED_T7
16.31637498,29.82059877,11.45302055,18.15689958,10.44996835,IED_T8
1.757910841,0.674256994,0.77892521,0.361116771,0.406106293,IED_O1
12.41447966,28.47204629,24.56308109,20.48470768,12.37283403,IED_AF3
7.357896519,31.53549534,32.24123645,15.0209819,10.05072676,IED_AF4
5.875887827,5.797592761,5.458279481,7.191608986,5.046256527,IED_T7
7.206886159,15.96630054,15.15797775,14.04781271,12.93441926,IED_T8
2.070884847,0.422594268,0.634823883,0.412021092,0.425013032,IED_O1
7.092615013,36.22251893,26.2569393,14.26478182,7.318344006,IED_AF3
4.244850708,38.8470131,27.08555241,11.49526237,5.978898097,IED_AF4
3.526910991,7.759795628,4.672456234,9.929218974,4.977536632,IED_T7
4.604449173,25.79112408,18.62676709,12.04967164,8.284901682,IED_T8
1.248567148,0.665168421,0.628912766,0.659002175,0.36074988,IED_O1
3.531308734,23.55568558,33.16172735,10.75912544,7.098311339,IED_AF3
3.270448284,30.28728579,27.26220748,11.0039605,7.768063919,IED_AF4
3.244250642,9.159804186,11.46277046,8.761969609,6.3140345,IED_T7
6.312373805,30.17451172,23.06798894,10.57146008,8.214571392,IED_T8
1.105302514,0.79841188,0.921764624,0.541002879,0.384862344,IED_O1
5.266334517,12.38584981,50.37010906,22.53264676,10.42420397,IED_AF3
3.841206929,15.23814847,49.59500688,21.49335361,11.05806657,IED_AF4
6.098918535,8.562232524,24.04717286,9.192208794,4.983713235,IED_T7
9.124322028,20.18970545,39.84808154,17.99831602,9.6464964,IED_T8
1.14723173,0.749738157,2.076506392,0.441051771,0.511927215,IED_O1
6.894568538,19.69971219,54.09423631,19.11654733,8.48911463,IED_AF3
4.955757924,26.21103935,55.17143687,17.85780178,7.234922595,IED_AF4
4.740651989,9.52248604,23.10254214,6.282127069,3.002187636,IED_T7
6.9760081,25.39358626,45.16379561,16.56530233,5.290627523,IED_T8
0.919437634,0.6120871,2.392007332,0.431184666,0.383931098,IED_O1
6.577495402,44.27684132,41.81166289,10.46813597,8.661000088,IED_AF3
5.711237289,52.70048264,48.86538644,10.04547931,7.375346462,IED_AF4
2.725158939,12.68447948,13.88378307,3.376134712,3.613323218,IED_T7
6.932050603,52.51686865,40.47646093,12.77930846,6.162507686,IED_T8
0.866784292,0.938166257,1.310974296,0.395509407,0.31059194,IED_O1
5.207671601,51.54331842,27.94541826,11.30794093,9.177433869,IED_AF3
2.937789991,55.25856296,35.15724276,9.103220521,7.632826133,IED_AF4
4.439157058,13.74484119,9.824627148,3.697528012,4.192014635,IED_T7
11.50721023,63.67158355,36.71400879,9.783752697,7.011465072,IED_T8
0.786950076,0.70966631,0.594852087,0.416325652,0.391266437,IED_O1
6.879655765,41.72825706,32.92396943,12.36448339,7.762473303,IED_AF3
4.623238542,50.73473962,42.22396008,10.22173146,6.522179943,IED_AF4
4.223863554,13.27745001,12.52296961,5.065051546,3.977455811,IED_T7
14.03575234,51.74838946,42.3670606,9.427737122,7.507667182,IED_T8
0.970823628,0.508145432,0.626138821,0.619036121,0.462391503,IED_O1
7.634684749,34.1274166,33.86542068,15.09254246,7.682917873,IED_AF3
9.29884729,36.70415863,39.74301637,13.98286816,7.028538773,IED_AF4
4.99896672,8.267824033,8.827671649,4.048191719,3.021738605,IED_T7
5.704324836,36.3147995,44.44558455,13.64810258,7.157401991,IED_T8
0.47010986,0.468074822,0.421791958,0.437056237,0.402786992,IED_O1
10.5407342,41.38113397,34.78520622,18.17544429,7.660062644,IED_AF3
10.21151744,41.89324544,39.11058659,19.82779598,7.966316342,IED_AF4
3.135989057,9.016643665,7.711284769,5.37168592,3.528912546,IED_T7
2.535960176,43.61321765,47.03314368,19.17554047,6.319006391,IED_T8
0.612945159,0.820404033,0.433449366,0.425707402,0.405642089,IED_O1
9.117775311,17.53987794,68.27351784,14.40464745,8.387135528,IED_AF3
7.007802957,18.61576382,72.76891796,19.15475002,8.891743261,IED_AF4
1.7356237,3.986999055,15.45127929,5.352209551,4.801682202,IED_T7
3.906100525,20.84802587,67.4229541,17.59656011,8.102982318,IED_T8
0.431014473,0.512561115,0.686282439,0.665164498,0.498849541,IED_O1
9.117775311,17.53987794,68.27351784,14.40464745,8.387135528,IED_AF3
7.007802957,18.61576382,72.76891796,19.15475002,8.891743261,IED_AF4
1.7356237,3.986999055,15.45127929,5.352209551,4.801682202,IED_T7
3.906100525,20.84802587,67.4229541,17.59656011,8.102982318,IED_T8
0.431014473,0.512561115,0.686282439,0.665164498,0.498849541,IED_O1
4.463496286,9.630140153,98.02724775,17.11434184,9.673888711,IED_AF3
5.10766251,10.86226501,100.6148641,21.42476887,11.03555205,IED_AF4
2.934380993,2.992960477,23.93960934,8.521087424,5.343317622,IED_T7
11.06776633,9.430800473,87.07773149,23.0359446,12.90799595,IED_T8
0.281166934,0.348950402,1.273883785,0.946708086,0.464958915,IED_O1
10.61059369,22.32452629,104.7156425,27.17656855,14.01881562,IED_AF3
13.39268225,24.54877426,109.1372214,29.7592855,15.09227803,IED_AF4
4.419867764,8.1686648,32.64260395,13.2858382,7.455251802,IED_T7
11.44374467,19.42796587,101.1813766,32.8717776,15.83810853,IED_T8
0.420149002,0.760784773,1.909157754,0.833008773,0.511591345,IED_O1
10.61059369,22.32452629,104.7156425,27.17656855,14.01881562,IED_AF3
13.39268225,24.54877426,109.1372214,29.7592855,15.09227803,IED_AF4
4.419867764,8.1686648,32.64260395,13.2858382,7.455251802,IED_T7
11.44374467,19.42796587,101.1813766,32.8717776,15.83810853,IED_T8
0.420149002,0.760784773,1.909157754,0.833008773,0.511591345,IED_O1
10.61059369,22.32452629,104.7156425,27.17656855,14.01881562,IED_AF3
13.39268225,24.54877426,109.1372214,29.7592855,15.09227803,IED_AF4
4.419867764,8.1686648,32.64260395,13.2858382,7.455251802,IED_T7
11.44374467,19.42796587,101.1813766,32.8717776,15.83810853,IED_T8
0.420149002,0.760784773,1.909157754,0.833008773,0.511591345,IED_O1
10.61059369,22.32452629,104.7156425,27.17656855,14.01881562,IED_AF3
13.39268225,24.54877426,109.1372214,29.7592855,15.09227803,IED_AF4
4.419867764,8.1686648,32.64260395,13.2858382,7.455251802,IED_T7
11.44374467,19.42796587,101.1813766,32.8717776,15.83810853,IED_T8
0.420149002,0.760784773,1.909157754,0.833008773,0.511591345,IED_O1
10.61059369,22.32452629,104.7156425,27.17656855,14.01881562,IED_AF3
13.39268225,24.54877426,109.1372214,29.7592855,15.09227803,IED_AF4
4.419867764,8.1686648,32.64260395,13.2858382,7.455251802,IED_T7
11.44374467,19.42796587,101.1813766,32.8717776,15.83810853,IED_T8
0.420149002,0.760784773,1.909157754,0.833008773,0.511591345,IED_O1
