Theta, Alpha, Low_beta, High_beta, Gamma, Channel
,,,,,
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
0,0,0,0,0,IED_AF3
0,0,0,0,0,IED_AF4
0,0,0,0,0,IED_T7
0,0,0,0,0,IED_T8
0,0,0,0,0,IED_O1
92.17400868,38.55824545,22.12641308,11.26744948,4.838653574,IED_AF3
93.43048081,39.42855306,26.41316125,14.27505912,7.371996105,IED_AF4
93.3905264,38.19500929,26.18279941,19.66100848,14.58716226,IED_T7
82.35403907,35.21510798,25.79764249,9.667810301,4.422949858,IED_T8
86.26738605,29.65597246,14.26864079,7.346962657,2.58313607,IED_O1
3.530672849,5.704479168,9.855506169,3.884419217,3.433160684,IED_AF3
2.973394379,5.479637643,11.41657364,3.857891452,3.489724687,IED_AF4
2.87876155,3.802052196,1.176572329,2.048580365,2.513740615,IED_T7
2.794929316,4.670028787,10.92798522,2.72770487,4.19168257,IED_T8
0.52084863,0.506966861,0.197946947,0.163206338,0.40251676,IED_O1
4.651620563,5.212359266,10.90409395,5.157308481,4.170539408,IED_AF3
5.10950104,6.035994062,12.41738389,4.743290343,3.866878481,IED_AF4
2.873242245,4.77619567,2.151664297,1.760807141,3.082304127,IED_T7
3.986381183,10.31494602,9.029601134,2.233667016,2.991145428,IED_T8
0.244647851,0.618714049,0.239897275,0.36874583,0.333496459,IED_O1
2.67592224,3.684924848,13.50654488,6.85085851,2.757832611,IED_AF3
3.328915774,5.295538617,15.38606735,6.375769771,2.680461503,IED_AF4
2.18782972,2.122666655,2.977678241,1.354549875,1.88898982,IED_T7
5.39942536,5.204239339,8.476307665,3.414751461,1.706384724,IED_T8
0.207851582,0.365260633,0.448817957,0.319785154,0.269684121,IED_O1
1.53826812,3.476367571,9.203226299,6.412311938,3.293302234,IED_AF3
1.811495642,5.310915961,10.62612173,6.021199879,3.236962621,IED_AF4
1.075177428,2.859560729,2.263894189,1.862501742,1.291169291,IED_T7
6.309042225,4.594782556,8.171208715,5.630911379,2.47431052,IED_T8
0.156019654,0.623807657,0.370557613,0.335964003,0.285581581,IED_O1
2.626201096,3.703981035,7.935458381,4.713424168,3.41668151,IED_AF3
2.949515791,3.852684272,9.19998356,4.686571238,2.74632009,IED_AF4
1.822675512,3.059074645,3.522480153,2.866825629,1.368367175,IED_T7
9.087436525,6.754921789,13.91550058,4.70689365,2.181193444,IED_T8
0.281497434,0.739178213,0.458233946,0.461852836,0.308781792,IED_O1
3.90952144,2.481854978,11.01392577,5.293094241,4.914250743,IED_AF3
3.507261328,2.871779906,8.542815921,2.904807497,3.158456521,IED_AF4
2.742174939,2.066209325,3.717607752,1.598313482,1.669462658,IED_T7
14.06912756,3.245662226,3.220311721,1.404651932,2.787741151,IED_T8
0.426668986,0.395060859,0.640796379,0.467011954,0.266067754,IED_O1
5.003168729,6.053857511,12.00485828,6.983255761,8.389629255,IED_AF3
5.154454453,8.757071811,4.395347408,2.519913726,3.307440271,IED_AF4
2.262253235,1.171531985,1.438983653,1.93558181,1.593281431,IED_T7
7.851398355,7.156274144,2.941612649,3.100489436,2.715040954,IED_T8
0.282469686,0.502142878,0.321265131,0.43686113,0.3083551,IED_O1
3.022022856,11.73525076,19.35632282,8.787810552,6.171140741,IED_AF3
3.213830353,7.770891788,10.99306495,2.887874377,2.623451726,IED_AF4
3.623846308,2.067761779,2.337855251,1.595406348,1.65972331,IED_T7
8.173031817,5.456174868,4.678546801,3.989934074,2.397148229,IED_T8
0.38504001,1.207393325,0.259665142,0.535761017,0.336608244,IED_O1
4.756201297,12.09329059,19.37729505,7.010976351,7.167739384,IED_AF3
2.892072168,8.704916653,13.60695873,3.630604931,3.92609109,IED_AF4
3.135405302,2.437808862,2.895894475,2.113765381,1.643226542,IED_T7
20.25396351,6.788148397,7.549248858,2.986002488,3.097048637,IED_T8
0.270734372,0.992587449,0.487012813,0.533731763,0.281789475,IED_O1
5.627173173,8.280718744,10.03725525,7.079951464,6.619569734,IED_AF3
4.86126143,11.59815305,12.89376814,6.252678783,4.017402555,IED_AF4
2.328851855,2.520920393,2.372177413,2.528382027,1.733912321,IED_T7
15.70047308,10.9877414,10.93011332,5.01564937,3.912615276,IED_T8
0.219418023,0.6748257,0.410884111,0.360784968,0.363752892,IED_O1
4.552794553,9.006798488,9.946676513,10.39975652,6.047013278,IED_AF3
5.950416367,10.93799562,15.62919469,9.048633449,4.499125732,IED_AF4
3.921017452,2.227056812,3.749445101,3.147844733,2.517137526,IED_T7
6.317613195,11.30180776,15.19878808,8.066743208,4.535773467,IED_T8
0.207274117,0.275161198,0.267348412,0.325069944,0.695252565,IED_O1
4.378339492,5.614364017,10.59736893,11.0281138,3.558847744,IED_AF3
4.063244801,4.408065206,13.43315446,10.447603,2.932509056,IED_AF4
1.578769984,1.410683168,4.136887498,4.202639963,1.756284757,IED_T7
14.90282459,8.822791125,15.07494122,9.296738287,4.558101896,IED_T8
0.214816337,0.237318216,0.149475999,0.533587811,0.455516372,IED_O1
4.389648037,3.116586863,13.21352507,8.545646031,2.260216665,IED_AF3
4.627942962,2.108351655,13.29155969,8.975926118,1.816217718,IED_AF4
1.725248787,0.756929121,2.772053344,4.053578989,1.188372009,IED_T7
7.817692774,5.159051813,9.982972591,7.617123527,3.367764184,IED_T8
0.241577497,0.361808091,0.197508657,0.438173189,0.350506587,IED_O1
4.327652082,6.164867043,9.75093245,4.103568405,3.107463912,IED_AF3
5.15191505,6.358052284,10.46001361,4.043384615,1.809644639,IED_AF4
1.848426261,1.038351697,2.249049741,1.578096697,1.941124807,IED_T7
5.203186201,3.230062354,5.043203354,3.959485217,2.69529215,IED_T8
0.345788533,0.253790733,0.589689841,0.254438192,0.521948352,IED_O1
2.300822841,5.08679858,4.893762645,4.684750122,3.367674829,IED_AF3
2.091751021,4.393367276,4.659940456,3.266319599,1.74329059,IED_AF4
0.944827198,1.366885869,1.858209448,1.143934832,1.53495874,IED_T7
5.26598049,1.901112821,3.142280323,3.437801264,1.945908782,IED_T8
0.225598234,0.347537555,0.48799246,0.309557462,0.424840652,IED_O1
1.091569176,3.379777309,7.659941153,5.132019205,3.745361075,IED_AF3
1.069623348,1.552523351,4.632064022,2.14717967,1.895057324,IED_AF4
0.75851933,1.319605916,1.313838974,1.10081894,1.515738675,IED_T7
4.783686863,1.968134514,4.127537166,2.788834831,2.246266803,IED_T8
0.332328739,0.248447194,0.283593382,0.329911049,0.464393804,IED_O1
2.108823519,2.646558281,13.23172824,5.400208524,3.232984575,IED_AF3
1.945582573,2.491266947,10.30595646,2.618759503,2.183802235,IED_AF4
1.468301288,1.136312461,1.750800178,1.351341626,1.266381072,IED_T7
7.573871941,1.797148121,5.183960879,1.517271462,2.735828131,IED_T8
0.414883978,0.136463335,0.260021695,0.321122313,0.430794418,IED_O1
2.351451495,2.96519657,11.17208627,4.078263659,3.053727116,IED_AF3
1.633872059,2.038885718,13.13258783,2.203927955,2.200771723,IED_AF4
1.53734876,1.008278232,2.97308379,1.038296145,1.486514161,IED_T7
8.637318,2.553221971,7.679245522,1.912573658,1.876064903,IED_T8
0.408040098,0.395162457,0.164103497,0.316895006,0.285284459,IED_O1
2.18927136,4.079795343,11.59757428,3.061032266,2.609109393,IED_AF3
1.353410934,3.678053803,13.91623812,1.969315589,2.468089519,IED_AF4
2.107482127,2.428142652,3.335472098,1.208948434,1.585277192,IED_T7
7.509411558,4.354008576,12.0267205,2.350329688,1.638897529,IED_T8
0.336834676,0.509275855,0.198555534,0.300859247,0.306709268,IED_O1
3.125791736,3.038357232,7.682522417,2.396943595,2.536699319,IED_AF3
2.811701071,3.095266793,6.367931267,1.815371003,1.92692011,IED_AF4
3.02249211,2.412373457,2.242639144,1.045438132,1.220906096,IED_T7
4.887752903,3.125365289,4.959623561,2.280332425,2.275464704,IED_T8
0.407931638,0.383780052,0.475714399,0.384592622,0.528807875,IED_O1
4.932129479,4.957791993,3.386350794,3.104941024,2.920008797,IED_AF3
4.302161609,3.951500771,2.271185061,2.510434148,1.856673039,IED_AF4
2.509665493,1.923938331,0.922629149,1.565645248,1.222801687,IED_T7
5.237105683,3.170768348,2.155922589,2.629642647,1.745661663,IED_T8
0.412688442,0.239948333,0.542781703,0.302463597,0.503062657,IED_O1
3.606341064,8.089253214,7.277449551,3.919983204,2.980571558,IED_AF3
2.844738756,9.104146905,7.311574932,3.140474805,2.064719419,IED_AF4
2.91471107,1.87237105,2.008301105,1.646091699,1.467971628,IED_T7
4.786782946,4.976860415,5.729881915,2.731700688,1.719819094,IED_T8
0.204495,0.281815832,0.50023998,0.327758025,0.408537276,IED_O1
3.441452585,6.325688327,9.809332239,5.814774451,3.150392318,IED_AF3
2.615815966,5.843119134,8.983473124,4.214410597,2.873401916,IED_AF4
3.645105936,2.524039299,2.232404072,1.552731435,1.874137812,IED_T7
5.783537109,3.499754108,4.233384138,2.460302163,2.693410547,IED_T8
0.130763047,0.347479225,0.504517739,0.350295246,0.342401075,IED_O1
1.736181581,2.818511735,10.31187017,5.421014057,2.4043043,IED_AF3
1.493888105,3.052235784,9.166596623,3.999925514,2.349313402,IED_AF4
3.728894798,2.068532225,1.150623165,1.098620772,1.850150685,IED_T7
5.480736687,5.046476265,4.824392571,1.757471431,2.404837843,IED_T8
0.351003357,0.497422952,0.516217553,0.255947055,0.333202084,IED_O1
1.449539988,2.498513888,8.578735457,6.800563794,3.080905517,IED_AF3
1.734974017,3.515264794,6.300068533,5.098408624,2.172733884,IED_AF4
3.752093666,0.752524648,1.388051396,1.323270409,2.1583333,IED_T7
4.597600481,4.218136833,3.060524368,2.075866102,2.062434041,IED_T8
0.488599898,0.799419863,0.885787284,0.37860961,0.379093046,IED_O1
2.523746185,3.124454168,5.26792057,9.479036893,8.070639876,IED_AF3
3.074864551,2.318843244,3.366540738,5.719762052,3.89101193,IED_AF4
3.865064379,1.243548688,1.924933179,1.497020172,3.083358016,IED_T7
6.340867818,4.009894794,2.258284259,2.396724645,2.733340382,IED_T8
0.431012755,0.838032823,0.919193089,0.394799007,0.460738903,IED_O1
6.75201411,3.838388097,4.560563051,9.741415089,8.107096373,IED_AF3
6.514695849,2.425493639,3.733622705,6.829022735,4.347885813,IED_AF4
4.418225436,2.551215693,1.156548652,1.568546476,2.936299605,IED_T7
13.03496945,7.588061065,2.244371223,4.042670699,3.152673413,IED_T8
0.191309055,0.986974445,0.490801054,0.296655639,0.397691596,IED_O1
15.23044393,4.964178765,3.760371167,5.017247206,4.389760237,IED_AF3
12.93206135,4.181320753,3.634012246,3.741361436,3.120155355,IED_AF4
4.163145916,1.360541729,1.455405613,1.036567028,2.124299059,IED_T7
51.73392091,14.99219068,2.502780613,2.532270754,3.635379036,IED_T8
0.368354764,0.31132621,0.22648634,0.231469181,0.315557585,IED_O1
12.09733085,7.30325216,5.497340499,3.729329243,3.641047349,IED_AF3
10.15076267,6.348502726,4.844094368,3.080567516,2.65992105,IED_AF4
2.86382716,1.138613507,1.670196997,1.083117695,2.123347479,IED_T7
40.10003238,11.26448726,5.512858976,3.080818867,3.080162274,IED_T8
0.586129737,0.254223232,0.195523171,0.170402684,0.266324787,IED_O1
5.016981493,4.965356664,3.886088034,7.462121277,4.306426436,IED_AF3
5.557693333,3.709801702,2.67679749,6.764718141,3.376016865,IED_AF4
2.722773269,2.189472144,1.100564544,1.753752135,2.061263872,IED_T7
19.46556134,5.40195372,4.83937755,6.011564227,3.963814346,IED_T8
0.422394507,0.335730308,0.218321255,0.243580988,0.19435503,IED_O1
2.226741348,4.164338242,3.102895356,6.889630612,4.024192698,IED_AF3
2.932023792,3.633737695,2.602849714,5.723655919,3.496210142,IED_AF4
2.278505817,2.451912398,0.750275691,1.869413837,1.429453888,IED_T7
5.771095422,4.049667469,6.661754921,5.155583697,3.864432709,IED_T8
0.36847507,0.417913909,0.358958993,0.237858312,0.189128931,IED_O1
5.012175996,4.926542176,2.19603454,3.644781517,3.305582157,IED_AF3
8.735234065,4.30897872,3.550322356,2.424753654,2.899461981,IED_AF4
1.292718831,1.913508281,0.454551509,1.231798878,1.729557106,IED_T7
3.087313451,4.132014709,4.813138484,3.42043825,2.654064564,IED_T8
0.604526132,0.408705161,0.458811413,0.264034878,0.387898862,IED_O1
4.618750855,3.77933632,2.877924955,3.217672197,2.671345105,IED_AF3
8.057833256,4.835986899,4.659167159,2.650996285,2.785641937,IED_AF4
0.936052504,1.744081449,1.157807183,1.379838976,1.888293464,IED_T7
5.234221864,4.189380483,2.767905669,2.564459406,2.064024189,IED_T8
0.496098729,0.300506625,0.583087852,0.272619724,0.396412059,IED_O1
1.324681188,3.761771585,4.130461707,3.118068035,2.729680568,IED_AF3
1.582216384,6.511798574,5.093416911,3.504966145,2.490120061,IED_AF4
1.281323397,2.694260127,1.615308817,1.817428774,1.429317239,IED_T7
5.074880705,4.748351701,2.677982108,1.90435395,2.149324664,IED_T8
0.293656294,0.423605382,0.300957875,0.233472509,0.357545116,IED_O1
2.631586307,4.62028878,9.954199156,4.453790241,2.589090758,IED_AF3
3.292312499,7.805753469,9.696324866,4.601160125,2.001290653,IED_AF4
2.808463609,2.650237007,2.673747739,1.983540139,1.145264061,IED_T7
5.428247459,6.380311964,5.061587984,2.262353745,1.756510183,IED_T8
0.31774558,0.598496688,0.170471786,0.281430173,0.302587085,IED_O1
2.282319235,7.755224941,8.202436718,3.146581791,3.970467027,IED_AF3
3.433434971,10.13755489,6.324733738,3.697749542,3.299637048,IED_AF4
1.642171431,2.312838354,1.386533326,1.683427165,1.606880105,IED_T7
3.475570854,8.287997322,3.52525227,2.309373682,2.632295475,IED_T8
0.22348329,0.430153283,0.186698897,0.39962768,0.247070524,IED_O1
1.994782777,11.15037196,6.31600481,2.067953779,8.683221505,IED_AF3
1.315528395,12.37280604,7.015700144,3.618404177,5.743256905,IED_AF4
1.201410282,2.88311164,1.59916417,1.379707498,2.184984944,IED_T7
2.186261674,7.843471135,3.494858291,3.634520195,4.660251963,IED_T8
0.328387257,0.362585615,0.33476766,0.302438321,0.330660199,IED_O1
2.076543454,6.275768147,5.158985155,3.126259588,5.398998058,IED_AF3
1.602496365,5.832890492,8.293335776,2.903542586,3.632619653,IED_AF4
1.403506494,1.742481632,2.003993282,1.322352547,1.802396934,IED_T7
1.914023332,2.645363611,3.606091741,2.243232137,3.438233492,IED_T8
0.381833377,0.28098946,0.256048522,0.207095398,0.354813156,IED_O1
1.289313135,3.799582702,2.998330669,3.060479445,2.575413784,IED_AF3
1.730629391,3.651600469,3.228942832,2.068868513,2.042766736,IED_AF4
1.390430831,1.611035482,2.393912614,1.121971332,1.207558203,IED_T7
1.760948557,2.258806995,2.327556258,1.337616877,1.880499523,IED_T8
0.254646282,0.142360419,0.185663288,0.35229606,0.377763336,IED_O1
2.995172717,7.601392909,4.999594585,2.736820388,2.950029574,IED_AF3
4.002875586,7.582134401,4.424943265,1.591242768,2.478678232,IED_AF4
1.869623091,1.885676182,2.322725275,0.966078521,1.174151461,IED_T7
2.742516082,4.834045909,2.672511441,1.373672486,2.602630595,IED_T8
0.227476744,0.098302939,0.443513298,0.354819312,0.265552769,IED_O1
3.413155405,6.606517903,6.137086818,4.460857464,3.473689493,IED_AF3
4.386599379,8.536692283,5.627087989,2.599868143,2.602420224,IED_AF4
2.693932842,1.820388369,3.453433713,1.68173908,1.386284487,IED_T7
2.338554181,5.075978455,2.65751023,2.435564161,3.616343537,IED_T8
0.134769761,0.272503745,0.479228917,0.30186826,0.249657669,IED_O1
2.855207509,1.394706118,5.782975134,6.221136747,2.815091331,IED_AF3
3.249035413,2.263196939,4.463720467,4.612497062,1.921626819,IED_AF4
1.380596653,0.971293683,4.776859279,1.772092595,0.991388682,IED_T7
